RMS,Spectral Slope,Zero Crossings,MFCC(2),Spectral RollOff,MFCC(4),MFCC(13),MFCC(11),MFCC(1),MFCC(12),Spectral Spread,Class
-20.187,-9.74E-07,0.075458,2.2779,493,1.2432,0.095795,-0.12839,-25.954,-0.017165,616.68,'music'
-16.315,-2.27E-06,0.098657,2.9004,462,0.36602,-0.33931,-0.050032,-22.565,-0.72676,878.82,'speech'
-21.369,-5.69E-07,0.044689,2.3677,1184,0.75089,0.19891,0.21462,-27.885,0.43485,597.75,'music'
-17.724,-1.23E-06,0.11673,1.8504,1170,0.72793,0.12566,0.19717,-23.188,0.33337,1250.1,'music'
-29.913,-4.98E-07,0.094017,2.3898,561,1.4441,0.6317,-0.11736,-26.718,-0.44091,1015.5,'speech'
-14.613,-1.40E-06,0.13675,1.4418,957,0.81468,0.31517,-0.54886,-23.978,0.12233,1283.5,'music'
-21.4,-5.23E-07,0.065934,2.0292,643,1.4286,-0.27129,-0.78167,-26.476,-0.074416,758.47,'music'
-15.292,-1.94E-06,0.091575,1.8619,1160,0.32052,0.10182,-0.10688,-22.075,0.30124,1154,'music'
-19.122,-1.19E-06,0.10012,2.6239,1078,0.34755,0.19009,0.31115,-23.954,-0.078387,1521.3,'music'
-26.24,-4.30E-07,0.13211,2.5851,938,0.91665,-0.22816,0.17392,-26.888,-0.36705,802.05,'speech'
-17.638,-1.05E-06,0.031746,3.0473,605,0.99016,-0.40736,-0.3563,-25.874,-0.10447,297.63,'speech'
-20.115,-8.59E-07,0.028816,4.6056,187,0.33812,0.15454,-0.077192,-27.477,-0.037879,250.57,'music'
-14.411,-1.27E-06,0.066178,2.2972,898,-0.27248,-0.11937,-0.11128,-24.364,-0.4254,739.91,'music'
-10.959,-2.65E-06,0.12698,2.3531,623,1.0929,-0.43763,0.34157,-21.739,0.041571,1275.9,'speech'
-17.701,-1.06E-06,0.052747,4.3542,292,0.11779,0.13318,-0.57283,-26.229,-0.16066,436.01,'music'
-20.26,-9.72E-07,0.10354,1.9551,847,0.755,-0.17871,-0.16041,-24.215,-0.08359,931.25,'music'
-32.126,-1.86E-07,0.055922,4.2399,1340,-0.44889,0.30044,0.028451,-30.56,0.0061564,882.8,'music'
-21.513,-8.00E-07,0.067155,4.3559,325,0.33346,0.05465,-0.94868,-26.284,-0.33703,617.45,'music'
-15.893,-1.82E-06,0.071795,2.3147,925,0.40325,-0.17053,0.13995,-22.566,0.26126,884.31,'music'
-35.585,-1.28E-07,0.086203,2.1919,1166,0.15932,0.15393,-0.10243,-29.479,-0.12377,1186,'speech'
-22.551,-1.37E-06,0.14481,2.0237,685,0.24018,0.0775,-0.25692,-23.09,-0.47781,1417.6,'speech'
-11.218,-3.29E-06,0.098901,1.7498,843,0.67642,-0.49651,-0.39613,-20.844,-0.48061,1094.4,'speech'
-30.664,2.38E-08,0.37363,0.72302,1617,0.32329,0.12891,0.025636,-28.676,-0.44897,4988,'speech'
